,instruction,input,output
71,COL CCN VAL 01T157 COL Facility VAL RUSTON REGIONAL SPECIALTY HOSPITAL COL Address1 VAL 201 AVALON AVE COL City VAL MUSCLE SHOALS COL State VAL AL COL ZipCode VAL 35661 COL County VAL Colbert COL PhoneNumber VAL (256) 386-1687 COL CMSRegion VAL 4 COL Condition VAL All other conditions ,COL Facility VAL RUSTON REGIONAL SPECIALTY HOSPITAL ,JW SOMMER REHABILITATION UNIT
72,COL CCN VAL 01T157 COL Facility VAL JW SOMMER REHABILITATION UNIT COL Address1 VAL 900 23RD ST NW COL City VAL MUSCLE SHOALS COL State VAL AL COL ZipCode VAL 35661 COL County VAL Colbert COL PhoneNumber VAL (256) 386-1687 COL CMSRegion VAL 4 COL Condition VAL All other conditions ,COL Address1 VAL 900 23RD ST NW ,201 AVALON AVE
73,COL CCN VAL 01T157 COL Facility VAL JW SOMMER REHABILITATION UNIT COL Address1 VAL 201 AVALON AVE COL City VAL BRADFORD COL State VAL AL COL ZipCode VAL 35661 COL County VAL Colbert COL PhoneNumber VAL (256) 386-1687 COL CMSRegion VAL 4 COL Condition VAL All other conditions ,COL City VAL BRADFORD ,MUSCLE SHOALS
74,COL CCN VAL 01T157 COL Facility VAL JW SOMMER REHABILITATION UNIT COL Address1 VAL 201 AVALON AVE COL City VAL MUSCLE SHOALS COL State VAL MT COL ZipCode VAL 35661 COL County VAL Colbert COL PhoneNumber VAL (256) 386-1687 COL CMSRegion VAL 4 COL Condition VAL All other conditions ,COL State VAL MT ,AL
75,COL CCN VAL 01T157 COL Facility VAL JW SOMMER REHABILITATION UNIT COL Address1 VAL 201 AVALON AVE COL City VAL MUSCLE SHOALS COL State VAL AL COL ZipCode VAL 46143 COL County VAL Colbert COL PhoneNumber VAL (256) 386-1687 COL CMSRegion VAL 4 COL Condition VAL All other conditions ,COL ZipCode VAL 46143 ,35661
76,COL CCN VAL 01T157 COL Facility VAL JW SOMMER REHABILITATION UNIT COL Address1 VAL 201 AVALON AVE COL City VAL MUSCLE SHOALS COL State VAL AL COL ZipCode VAL 35661 COL County VAL Riley COL PhoneNumber VAL (256) 386-1687 COL CMSRegion VAL 4 COL Condition VAL All other conditions ,COL County VAL Riley ,Colbert
77,COL CCN VAL 01T157 COL Facility VAL JW SOMMER REHABILITATION UNIT COL Address1 VAL 201 AVALON AVE COL City VAL MUSCLE SHOALS COL State VAL AL COL ZipCode VAL 35661 COL County VAL Colbert COL PhoneNumber VAL (812) 254-2760 COL CMSRegion VAL 4 COL Condition VAL All other conditions ,COL PhoneNumber VAL (812) 254-2760 ,(256) 386-1687
78,COL CCN VAL 01T157 COL Facility VAL JW SOMMER REHABILITATION UNIT COL Address1 VAL 201 AVALON AVE COL City VAL MUSCLE SHOALS COL State VAL AL COL ZipCode VAL 35661 COL County VAL Colbert COL PhoneNumber VAL (256) 386-1687 COL CMSRegion VAL 7 COL Condition VAL All other conditions ,COL CMSRegion VAL 7 ,4
79,COL CCN VAL 01T157 COL Facility VAL JW SOMMER REHABILITATION UNIT COL Address1 VAL 201 AVALON AVE COL City VAL MUSCLE SHOALS COL State VAL AL COL ZipCode VAL 35661 COL County VAL Colbert COL PhoneNumber VAL (256) 386-1687 COL CMSRegion VAL 4 COL Condition VAL Sinal cord injury (traumatic) ,COL Condition VAL Sinal cord injury (traumatic) ,All other conditions
80,"COL CCN VAL 37T037 COL Facility VAL EAMC - LANIER COL Address1 VAL 4800 48TH STREET COL City VAL VALLEY COL State VAL AL COL ZipCode VAL 36854 COL County VAL Chambers COL PhoneNumber VAL (334) 756-9180 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL CCN VAL 37T037 ,01T175
81,"COL CCN VAL 01T175 COL Facility VAL UNIVERSITY HOSPITALS REHABILITATION HOSPITAL COL Address1 VAL 4800 48TH STREET COL City VAL VALLEY COL State VAL AL COL ZipCode VAL 36854 COL County VAL Chambers COL PhoneNumber VAL (334) 756-9180 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL Facility VAL UNIVERSITY HOSPITALS REHABILITATION HOSPITAL ,EAMC - LANIER
82,"COL CCN VAL 01T175 COL Facility VAL EAMC - LANIER COL Address1 VAL 335 BRIGHTON AVENUE, UNIT 201 COL City VAL VALLEY COL State VAL AL COL ZipCode VAL 36854 COL County VAL Chambers COL PhoneNumber VAL (334) 756-9180 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ","COL Address1 VAL 335 BRIGHTON AVENUE, UNIT 201 ",4800 48TH STREET
83,COL CCN VAL 01T175 COL Facility VAL EAMC - LANIER COL Address1 VAL 4800 48TH STREET COL City VAL 1200 NORTH ELM STREET COL State VAL AL COL ZipCode VAL 36854 COL County VAL Chambers COL PhoneNumber VAL (334) 756-9180 COL CMSRegion VAL 4 COL Condition VAL All other conditions ,COL City VAL 1200 NORTH ELM STREET ,VALLEY
84,COL CCN VAL 01T175 COL Facility VAL EAMC - LANIER COL Address1 VAL 4800 48TH STREET COL City VAL VALLEY COL State VAL P COL ZipCode VAL 36854 COL County VAL Chambers COL PhoneNumber VAL (334) 756-9180 COL CMSRegion VAL 4 COL Condition VAL All other conditions ,COL State VAL P ,AL
85,"COL CCN VAL 01T175 COL Facility VAL EAMC - LANIER COL Address1 VAL 4800 48TH STREET COL City VAL VALLEY COL State VAL AL COL ZipCode VAL 14215 COL County VAL Chambers COL PhoneNumber VAL (334) 756-9180 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL ZipCode VAL 14215 ,36854
86,"COL CCN VAL 01T175 COL Facility VAL EAMC - LANIER COL Address1 VAL 4800 48TH STREET COL City VAL VALLEY COL State VAL AL COL ZipCode VAL 36854 COL County VAL Middlesex COL PhoneNumber VAL (334) 756-9180 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL County VAL Middlesex ,Chambers
87,COL CCN VAL 01T175 COL Facility VAL EAMC - LANIER COL Address1 VAL 4800 48TH STREET COL City VAL VALLEY COL State VAL AL COL ZipCode VAL 36854 COL County VAL Chambers COL PhoneNumber VAL (13) 295-5197 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture ,COL PhoneNumber VAL (13) 295-5197 ,(334) 756-9180
88,"COL CCN VAL 01T175 COL Facility VAL EAMC - LANIER COL Address1 VAL 4800 48TH STREET COL City VAL VALLEY COL State VAL AL COL ZipCode VAL 36854 COL County VAL Chambers COL PhoneNumber VAL (334) 756-9180 COL CMSRegion VAL 2 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL CMSRegion VAL 2 ,4
89,COL CCN VAL 01T175 COL Facility VAL EAMC - LANIER COL Address1 VAL 4800 48TH STREET COL City VAL VALLEY COL State VAL AL COL ZipCode VAL 36854 COL County VAL Chambers COL PhoneNumber VAL (334) 756-9180 COL CMSRegion VAL 4 COL Condition VAL Bain injury (traumatic) ,COL Condition VAL Bain injury (traumatic) ,Hip or femur fracture
90,COL CCN VAL 05T262 COL Facility VAL ALASKA REGIONAL HOSPITAL COL Address1 VAL 2801 DEBARR RD COL City VAL ANCHORAGE COL State VAL AK COL ZipCode VAL 99508 COL County VAL Anchorage COL PhoneNumber VAL (907) 264-1503 COL CMSRegion VAL 10 COL Condition VAL Hip or femur fracture ,COL CCN VAL 05T262 ,02T017
91,COL CCN VAL 02T017 COL Facility VAL SHIRLEY RYAN ABILITYLAB COL Address1 VAL 2801 DEBARR RD COL City VAL ANCHORAGE COL State VAL AK COL ZipCode VAL 99508 COL County VAL Anchorage COL PhoneNumber VAL (907) 264-1503 COL CMSRegion VAL 10 COL Condition VAL Hip or femur fracture ,COL Facility VAL SHIRLEY RYAN ABILITYLAB ,ALASKA REGIONAL HOSPITAL
92,COL CCN VAL 02T017 COL Facility VAL ALASKA REGIONAL HOSPITAL COL Address1 VAL 101 E FLORIDA AVENUE COL City VAL ANCHORAGE COL State VAL AK COL ZipCode VAL 99508 COL County VAL Anchorage COL PhoneNumber VAL (907) 264-1503 COL CMSRegion VAL 10 COL Condition VAL Brain injury (traumatic) ,COL Address1 VAL 101 E FLORIDA AVENUE ,2801 DEBARR RD
93,COL CCN VAL 02T017 COL Facility VAL ALASKA REGIONAL HOSPITAL COL Address1 VAL 2801 DEBARR RD COL City VAL NATRONA HEIGHTS COL State VAL AK COL ZipCode VAL 99508 COL County VAL Anchorage COL PhoneNumber VAL (907) 264-1503 COL CMSRegion VAL 10 COL Condition VAL Hip or femur fracture ,COL City VAL NATRONA HEIGHTS ,ANCHORAGE
94,COL CCN VAL 02T017 COL Facility VAL ALASKA REGIONAL HOSPITAL COL Address1 VAL 2801 DEBARR RD COL City VAL ANCHORAGE COL State VAL AL COL ZipCode VAL 99508 COL County VAL Anchorage COL PhoneNumber VAL (907) 264-1503 COL CMSRegion VAL 10 COL Condition VAL Hip or femur fracture ,COL State VAL AL ,AK
95,COL CCN VAL 02T017 COL Facility VAL ALASKA REGIONAL HOSPITAL COL Address1 VAL 2801 DEBARR RD COL City VAL ANCHORAGE COL State VAL AK COL ZipCode VAL 8403 COL County VAL Anchorage COL PhoneNumber VAL (907) 264-1503 COL CMSRegion VAL 10 COL Condition VAL Hip or femur fracture ,COL ZipCode VAL 8403 ,99508
96,COL CCN VAL 02T017 COL Facility VAL ALASKA REGIONAL HOSPITAL COL Address1 VAL 2801 DEBARR RD COL City VAL ANCHORAGE COL State VAL AK COL ZipCode VAL 99508 COL County VAL Norfolk COL PhoneNumber VAL (907) 264-1503 COL CMSRegion VAL 10 COL Condition VAL Hip or femur fracture ,COL County VAL Norfolk ,Anchorage
97,COL CCN VAL 02T017 COL Facility VAL ALASKA REGIONAL HOSPITAL COL Address1 VAL 2801 DEBARR RD COL City VAL ANCHORAGE COL State VAL AK COL ZipCode VAL 99508 COL County VAL Anchorage COL PhoneNumber VAL (314) 658-3800 COL CMSRegion VAL 10 COL Condition VAL Hip or femur fracture ,COL PhoneNumber VAL (314) 658-3800 ,(907) 264-1503
98,COL CCN VAL 02T017 COL Facility VAL ALASKA REGIONAL HOSPITAL COL Address1 VAL 2801 DEBARR RD COL City VAL ANCHORAGE COL State VAL AK COL ZipCode VAL 99508 COL County VAL Anchorage COL PhoneNumber VAL (907) 264-1503 COL CMSRegion VAL 8 COL Condition VAL Hip or femur fracture ,COL CMSRegion VAL 8 ,10
99,COL CCN VAL 02T017 COL Facility VAL ALASKA REGIONAL HOSPITAL COL Address1 VAL 2801 DEBARR RD COL City VAL ANCHORAGE COL State VAL AK COL ZipCode VAL 99508 COL County VAL Anchorage COL PhoneNumber VAL (907) 264-1503 COL CMSRegion VAL 10 COL Condition VAL Bain disease or condition (non-traumatic) ,COL Condition VAL Bain disease or condition (non-traumatic) ,Brain injury (traumatic)
100,COL CCN VAL 36R325 COL Facility VAL ST JOSEPHS HOSP COL Address1 VAL 240 W THOMAS RD COL City VAL PHOENIX COL State VAL AZ COL ZipCode VAL 85013 COL County VAL Maricopa COL PhoneNumber VAL (602) 406-4796 COL CMSRegion VAL 9 COL Condition VAL Brain injury (traumatic) ,COL CCN VAL 36R325 ,03T024
101,COL CCN VAL 03T024 COL Facility VAL EORY UNIVERSITY HOSPITAL COL Address1 VAL 240 W THOMAS RD COL City VAL PHOENIX COL State VAL AZ COL ZipCode VAL 85013 COL County VAL Maricopa COL PhoneNumber VAL (602) 406-4796 COL CMSRegion VAL 9 COL Condition VAL Spinal cord injury (traumatic) ,COL Facility VAL EORY UNIVERSITY HOSPITAL ,ST JOSEPHS HOSP
102,COL CCN VAL 03T024 COL Facility VAL ST JOSEPHS HOSP COL Address1 VAL 100 WELLNESS WAY COL City VAL PHOENIX COL State VAL AZ COL ZipCode VAL 85013 COL County VAL Maricopa COL PhoneNumber VAL (602) 406-4796 COL CMSRegion VAL 9 COL Condition VAL Brain injury (traumatic) ,COL Address1 VAL 100 WELLNESS WAY ,240 W THOMAS RD
103,COL CCN VAL 03T024 COL Facility VAL ST JOSEPHS HOSP COL Address1 VAL 240 W THOMAS RD COL City VAL NEWTON COL State VAL AZ COL ZipCode VAL 85013 COL County VAL Maricopa COL PhoneNumber VAL (602) 406-4796 COL CMSRegion VAL 9 COL Condition VAL Brain injury (traumatic) ,COL City VAL NEWTON ,PHOENIX
104,COL CCN VAL 03T024 COL Facility VAL ST JOSEPHS HOSP COL Address1 VAL 240 W THOMAS RD COL City VAL PHOENIX COL State VAL PA COL ZipCode VAL 85013 COL County VAL Maricopa COL PhoneNumber VAL (602) 406-4796 COL CMSRegion VAL 9 COL Condition VAL Spinal cord injury (traumatic) ,COL State VAL PA ,AZ
105,COL CCN VAL 03T024 COL Facility VAL ST JOSEPHS HOSP COL Address1 VAL 240 W THOMAS RD COL City VAL PHOENIX COL State VAL AZ COL ZipCode VAL 48503 COL County VAL Maricopa COL PhoneNumber VAL (602) 406-4796 COL CMSRegion VAL 9 COL Condition VAL Spinal cord injury (traumatic) ,COL ZipCode VAL 48503 ,85013
106,COL CCN VAL 03T024 COL Facility VAL ST JOSEPHS HOSP COL Address1 VAL 240 W THOMAS RD COL City VAL PHOENIX COL State VAL AZ COL ZipCode VAL 85013 COL County VAL Lebanon COL PhoneNumber VAL (602) 406-4796 COL CMSRegion VAL 9 COL Condition VAL Spinal cord injury (traumatic) ,COL County VAL Lebanon ,Maricopa
107,COL CCN VAL 03T024 COL Facility VAL ST JOSEPHS HOSP COL Address1 VAL 240 W THOMAS RD COL City VAL PHOENIX COL State VAL AZ COL ZipCode VAL 85013 COL County VAL Maricopa COL PhoneNumber VAL (704) 355-4370 COL CMSRegion VAL 9 COL Condition VAL Spinal cord injury (traumatic) ,COL PhoneNumber VAL (704) 355-4370 ,(602) 406-4796
108,COL CCN VAL 03T024 COL Facility VAL ST JOSEPHS HOSP COL Address1 VAL 240 W THOMAS RD COL City VAL PHOENIX COL State VAL AZ COL ZipCode VAL 85013 COL County VAL Maricopa COL PhoneNumber VAL (602) 406-4796 COL CMSRegion VAL 6 COL Condition VAL Brain injury (traumatic) ,COL CMSRegion VAL 6 ,9
109,COL CCN VAL 03T024 COL Facility VAL ST JOSEPHS HOSP COL Address1 VAL 240 W THOMAS RD COL City VAL PHOENIX COL State VAL AZ COL ZipCode VAL 85013 COL County VAL Maricopa COL PhoneNumber VAL (602) 406-4796 COL CMSRegion VAL 9 COL Condition VAL Sroke ,COL Condition VAL Sroke ,Spinal cord injury (traumatic)
110,"COL CCN VAL 13030 COL Facility VAL SCOTTSDALE HEALTHCARE COL Address1 VAL 7400 E OSBORN ROAD COL City VAL SCOTTSDALE COL State VAL AZ COL ZipCode VAL 85251 COL County VAL Maricopa COL PhoneNumber VAL (480) 882-4000 COL CMSRegion VAL 9 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL CCN VAL 13030 ,03T038
111,"COL CCN VAL 03T038 COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL, PARTNER COL Address1 VAL 7400 E OSBORN ROAD COL City VAL SCOTTSDALE COL State VAL AZ COL ZipCode VAL 85251 COL County VAL Maricopa COL PhoneNumber VAL (480) 882-4000 COL CMSRegion VAL 9 COL Condition VAL Spinal cord disease or condition (non-traumatic) ","COL Facility VAL ENCOMPASS HEALTH REHABILITATION HOSPITAL, PARTNER ",SCOTTSDALE HEALTHCARE
112,COL CCN VAL 03T038 COL Facility VAL SCOTTSDALE HEALTHCARE COL Address1 VAL 200 INDUSTRIAL BLVD COL City VAL SCOTTSDALE COL State VAL AZ COL ZipCode VAL 85251 COL County VAL Maricopa COL PhoneNumber VAL (480) 882-4000 COL CMSRegion VAL 9 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL Address1 VAL 200 INDUSTRIAL BLVD ,7400 E OSBORN ROAD
113,COL CCN VAL 03T038 COL Facility VAL SCOTTSDALE HEALTHCARE COL Address1 VAL 7400 E OSBORN ROAD COL City VAL LAKE CHARLES COL State VAL AZ COL ZipCode VAL 85251 COL County VAL Maricopa COL PhoneNumber VAL (480) 882-4000 COL CMSRegion VAL 9 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL City VAL LAKE CHARLES ,SCOTTSDALE
114,"COL CCN VAL 03T038 COL Facility VAL SCOTTSDALE HEALTHCARE COL Address1 VAL 7400 E OSBORN ROAD COL City VAL SCOTTSDALE COL State VAL ID COL ZipCode VAL 85251 COL County VAL Maricopa COL PhoneNumber VAL (480) 882-4000 COL CMSRegion VAL 9 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL State VAL ID ,AZ
115,COL CCN VAL 03T038 COL Facility VAL SCOTTSDALE HEALTHCARE COL Address1 VAL 7400 E OSBORN ROAD COL City VAL SCOTTSDALE COL State VAL AZ COL ZipCode VAL 89052 COL County VAL Maricopa COL PhoneNumber VAL (480) 882-4000 COL CMSRegion VAL 9 COL Condition VAL Spinal cord disease or condition (non-traumatic) ,COL ZipCode VAL 89052 ,85251
116,COL CCN VAL 03T038 COL Facility VAL SCOTTSDALE HEALTHCARE COL Address1 VAL 7400 E OSBORN ROAD COL City VAL SCOTTSDALE COL State VAL AZ COL ZipCode VAL 85251 COL County VAL Beckham COL PhoneNumber VAL (480) 882-4000 COL CMSRegion VAL 9 COL Condition VAL Stroke ,COL County VAL Beckham ,Maricopa
117,"COL CCN VAL 03T038 COL Facility VAL SCOTTSDALE HEALTHCARE COL Address1 VAL 7400 E OSBORN ROAD COL City VAL SCOTTSDALE COL State VAL AZ COL ZipCode VAL 85251 COL County VAL Maricopa COL PhoneNumber VAL (215) 487-4551 COL CMSRegion VAL 9 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL PhoneNumber VAL (215) 487-4551 ,(480) 882-4000
118,"COL CCN VAL 03T038 COL Facility VAL SCOTTSDALE HEALTHCARE COL Address1 VAL 7400 E OSBORN ROAD COL City VAL SCOTTSDALE COL State VAL AZ COL ZipCode VAL 85251 COL County VAL Maricopa COL PhoneNumber VAL (480) 882-4000 COL CMSRegion VAL 5 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL CMSRegion VAL 5 ,9
119,COL CCN VAL 03T038 COL Facility VAL SCOTTSDALE HEALTHCARE COL Address1 VAL 7400 E OSBORN ROAD COL City VAL SCOTTSDALE COL State VAL AZ COL ZipCode VAL 85251 COL County VAL Maricopa COL PhoneNumber VAL (480) 882-4000 COL CMSRegion VAL 9 COL Condition VAL Brain injury (traumatic) ,COL Condition VAL Brain injury (traumatic) ,Spinal cord disease or condition (non-traumatic)
120,"COL CCN VAL 14T046 COL Facility VAL KINGMAN REGIONAL MEDICAL CENTER COL Address1 VAL 3269 STOCKTON HILL RD. COL City VAL KINGMAN COL State VAL AZ COL ZipCode VAL 86401 COL County VAL Mohave COL PhoneNumber VAL (928) 263-4632 COL CMSRegion VAL 9 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL CCN VAL 14T046 ,03T055
121,"COL CCN VAL 03T055 COL Facility VAL DANBURY HOSPITAL COL Address1 VAL 3269 STOCKTON HILL RD. COL City VAL KINGMAN COL State VAL AZ COL ZipCode VAL 86401 COL County VAL Mohave COL PhoneNumber VAL (928) 263-4632 COL CMSRegion VAL 9 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL Facility VAL DANBURY HOSPITAL ,KINGMAN REGIONAL MEDICAL CENTER
122,COL CCN VAL 03T055 COL Facility VAL KINGMAN REGIONAL MEDICAL CENTER COL Address1 VAL 21 NW R.D. MIZE COL City VAL KINGMAN COL State VAL AZ COL ZipCode VAL 86401 COL County VAL Mohave COL PhoneNumber VAL (928) 263-4632 COL CMSRegion VAL 9 COL Condition VAL Hp or femur fracture ,COL Address1 VAL 21 NW R.D. MIZE ,3269 STOCKTON HILL RD.
123,COL CCN VAL 03T055 COL Facility VAL KINGMAN REGIONAL MEDICAL CENTER COL Address1 VAL 3269 STOCKTON HILL RD. COL City VAL NEW LONDON COL State VAL AZ COL ZipCode VAL 86401 COL County VAL Mohave COL PhoneNumber VAL (928) 263-4632 COL CMSRegion VAL 9 COL Condition VAL Stroke ,COL City VAL NEW LONDON ,KINGMAN
124,COL CCN VAL 03T055 COL Facility VAL KINGMAN REGIONAL MEDICAL CENTER COL Address1 VAL 3269 STOCKTON HILL RD. COL City VAL KINGMAN COL State VAL NV COL ZipCode VAL 86401 COL County VAL Mohave COL PhoneNumber VAL (928) 263-4632 COL CMSRegion VAL 9 COL Condition VAL Hp or femur fracture ,COL State VAL NV ,AZ
125,"COL CCN VAL 03T055 COL Facility VAL KINGMAN REGIONAL MEDICAL CENTER COL Address1 VAL 3269 STOCKTON HILL RD. COL City VAL KINGMAN COL State VAL AZ COL ZipCode VAL 48043 COL County VAL Mohave COL PhoneNumber VAL (928) 263-4632 COL CMSRegion VAL 9 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL ZipCode VAL 48043 ,86401
126,COL CCN VAL 03T055 COL Facility VAL KINGMAN REGIONAL MEDICAL CENTER COL Address1 VAL 3269 STOCKTON HILL RD. COL City VAL KINGMAN COL State VAL AZ COL ZipCode VAL 86401 COL County VAL Wapello COL PhoneNumber VAL (928) 263-4632 COL CMSRegion VAL 9 COL Condition VAL Stroke ,COL County VAL Wapello ,Mohave
127,COL CCN VAL 03T055 COL Facility VAL KINGMAN REGIONAL MEDICAL CENTER COL Address1 VAL 3269 STOCKTON HILL RD. COL City VAL KINGMAN COL State VAL AZ COL ZipCode VAL 86401 COL County VAL Mohave COL PhoneNumber VAL (505) 556-6975 COL CMSRegion VAL 9 COL Condition VAL Hp or femur fracture ,COL PhoneNumber VAL (505) 556-6975 ,(928) 263-4632
128,COL CCN VAL 03T055 COL Facility VAL KINGMAN REGIONAL MEDICAL CENTER COL Address1 VAL 3269 STOCKTON HILL RD. COL City VAL KINGMAN COL State VAL AZ COL ZipCode VAL 86401 COL County VAL Mohave COL PhoneNumber VAL (928) 263-4632 COL CMSRegion VAL 8 COL Condition VAL Stroke ,COL CMSRegion VAL 8 ,9
129,"COL CCN VAL 03T055 COL Facility VAL KINGMAN REGIONAL MEDICAL CENTER COL Address1 VAL 3269 STOCKTON HILL RD. COL City VAL KINGMAN COL State VAL AZ COL ZipCode VAL 86401 COL County VAL Mohave COL PhoneNumber VAL (928) 263-4632 COL CMSRegion VAL 9 COL Condition VAL Hp or knee replacement, amputation or other bone or joint condition ","COL Condition VAL Hp or knee replacement, amputation or other bone or joint condition ",Hp or femur fracture
130,COL CCN VAL 33035 COL Facility VAL NORTHWEST MED CTR ORO VALLEY COL Address1 VAL 1551 E. TANGERINE RD. COL City VAL ORO VALLEY COL State VAL AZ COL ZipCode VAL 85755 COL County VAL Pima COL PhoneNumber VAL (520) 901-6183 COL CMSRegion VAL 9 COL Condition VAL Nervous system disorder (excluding stroke) ,COL CCN VAL 33035 ,03T114
131,COL CCN VAL 03T114 COL Facility VAL FAIRVIEW HEALTH SERVICES COL Address1 VAL 1551 E. TANGERINE RD. COL City VAL ORO VALLEY COL State VAL AZ COL ZipCode VAL 85755 COL County VAL Pima COL PhoneNumber VAL (520) 901-6183 COL CMSRegion VAL 9 COL Condition VAL Brain injury (traumatic) ,COL Facility VAL FAIRVIEW HEALTH SERVICES ,NORTHWEST MED CTR ORO VALLEY
132,COL CCN VAL 03T114 COL Facility VAL NORTHWEST MED CTR ORO VALLEY COL Address1 VAL 441 E LOHMAN AVE COL City VAL ORO VALLEY COL State VAL AZ COL ZipCode VAL 85755 COL County VAL Pima COL PhoneNumber VAL (520) 901-6183 COL CMSRegion VAL 9 COL Condition VAL Nervous system disorder (excluding stroke) ,COL Address1 VAL 441 E LOHMAN AVE ,1551 E. TANGERINE RD.
